cenario,sim_global_E2,sim_global_E3,sim_global_E4-p1,sim_global_E4-p2,sim_global_E4-p3,sim_detection_E2,sim_detection_E3,sim_detection_E4-p1,sim_detection_E4-p2,sim_detection_E4-p3
1 bitbucket_audit_unauthorized_full_data_export_triggered,0.9675358434617233,0.9649541928609466,0.8803326584221779,0.9054621092698203,0.9593843842198967,0.9229473788791553,0.9229473767038809,0.8380124240626321,0.8069208279746923,0.9026341118854295
10 db_anomalous_query,0.8545362615789284,0.9081313902735857,0.8093702568024099,0.831137296660527,0.9281638539974806,0.6693526651159355,0.8149327720037904,0.0,0.0,0.7257442586616204
11 file_delete_win_delete_exchange_powershell_logs,0.9832167557971441,0.9464185860525307,0.7916597493409494,0.8155410423746028,0.8864813730451331,1.0000000643313192,0.9550704897083437,0.8789455618493132,0.9065704895322795,0.0
12 net_dns_katz_stealer_domain,0.9125523048889721,0.9320733949061721,0.8476746111265712,0.9554508477837299,0.9846109218004648,0.8558226827472044,0.8922617977391227,0.9355532896346034,0.9843097674946257,0.9843097678420749
13 opencanary_ssh_login_attempt,0.8451556674214404,0.9065742448735947,0.6950918264179019,0.8743667984595778,0.8408573354075175,0.820511729651911,0.9999999271759143,0.0,0.0,0.0
14 proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,0.9990433135117044,0.99853314207391,0.9621626956938968,0.8954454010044457,0.8247624529862104,1.0000000534574887,0.988675629634665,0.9213502094193889,0.0,0.0
15 registry_event_runkey_winekey,0.8458837704306283,0.8746926866300568,0.7722403286780234,0.8398156245193089,0.8852694389268129,0.736813393135708,0.9987996081450903,0.0,0.819647122945725,0.0
16 appframework_django_exceptions,0.8831341115508388,0.9168787142391296,0.812985857597136,0.8497906536202551,0.8229143573313468,0.7639484205374385,0.9999999378652569,0.0,0.6972842617334679,0.6219514373273716
17 github_delete_action_invoked,0.8264805178155442,0.947823546746459,0.8062256665172279,0.8952086427388598,0.8203249659948593,0.7850390268416931,0.9530370586145713,0.7886867477072567,0.8543445745021975,0.0
18 java_local_file_read,0.8245758493805173,0.8902259483598945,0.7555833573219886,0.9864126451505663,0.8744036434616321,0.7037813310745544,0.9346828035556286,0.0,0.8717018575210794,0.0
19 kubernetes_audit_exec_into_container,0.8863388088206905,0.9329449984008794,0.8604834067250335,0.860576936198166,0.8539260116936864,0.8995475436291873,1.0000000446690962,0.8306781790950752,0.0,0.0
2 azure_app_device_code_authentication,0.8247306167597863,0.9267656813731877,0.7540885979053824,0.8427187605827431,0.8024067946725374,0.7264222750936152,0.8446043384092674,0.7000053536010136,0.8728312169519786,0.0
20 kubernetes_audit_secrets_modified_or_deleted,0.8328126175910147,0.955073339450826,0.8678151579681226,0.8598333215096324,0.8795541736333384,0.8115200511527624,0.9732023444726878,0.915782676078678,0.9069491311218992,1.0000000531592823
21 av_exploit_cve_2021_34527_print_nightmare.yml,1.0000000978757484,0.8896353249089717,0.8354150307647644,0.8542496012840752,0.9045477376182894,1.0000000968174891,0.8920817642947011,0.8147208154171612,0.8049643872326655,0.8085771414282215
22 microsoft365_new_federated_domain_added_audit,0.9380069354491758,0.875780265107804,0.9155941966567477,0.8404993805617587,0.9245161138259508,0.7849065706754699,0.9614388051753762,0.8133256166305078,0.8042888340339858,0.8475659844335504
23 win_appxdeployment_server_appx_downloaded_from_file_sharing_domains,0.8854803131360853,0.9138889961712784,0.8336231069907768,0.8440954334123925,0.8213325173144814,0.712247945959154,0.907808200684288,0.0,0.0,0.7833057925171245
24 file_event_lnx_doas_conf_creation,0.9321708641318283,0.9626561044112201,0.8629860759949419,0.9636309395725995,0.9427906703696634,0.9604490188243985,1.000000076781395,0.8150155025118848,0.9918343210364653,0.8995373210616496
25 posh_pm_invoke_obfuscation_stdin,0.8292577488574737,0.9371774520706164,0.683966501013988,0.8313987616327412,0.9903182647678399,0.7951089801681287,0.9548415843934507,0.0,0.0,0.9117671481342591
26 win_security_exploit_cve_2023_36884_office_windows_html_rce_share_access_pattern,0.892230186617014,0.9244227642389008,0.8198970318914334,0.8269158939946929,0.8501847890630014,0.9365133052549113,0.9466263105683959,0.7675510036624626,0.0,0.7781773950984043
27 appframework_ruby_on_rails_exceptions,0.9239498265156353,0.9341052573166254,0.8164880184008727,0.8318579421873227,0.7999583572704559,0.8651239374704174,0.9657382366071705,0.0,0.0,0.6747744091064221
28 pipe_created_sysinternals_psexec_default_pipe_susp_location,0.8134017360128231,0.942664990378195,0.6978759630518682,0.8470780669480669,0.8568513847063763,0.8776313861833911,1.0000000567831115,0.829808387046126,0.889747583555127,0.0
29 file_event_win_susp_startup_folder_persistence,0.9267570713127937,0.9366657153306055,0.7468619781654844,0.8757100536832421,0.8954159589123538,0.9370787721854388,0.9702811077958762,0.0,0.7799664585727341,0.0
3 zeek_susp_kerberos_rc4,0.9198451274243982,0.9411334230251289,0.7650288273329873,0.8821122470247088,0.8403029626049765,0.7905340287504452,0.9210359100994199,0.0,0.7339049820792247,0.787180202619017
30 proc_creation_macos_remote_access_tools_meshagent_arguments,0.8601061300316342,0.9509936169935698,0.8441953428113814,0.8899598067351516,0.8534575675773866,0.8175057601140546,0.9607823839411136,0.7776435826360149,0.9303000248508434,0.0
31 create_remote_thread_win_powershell_generic,0.8443768109127239,0.9634945874551334,0.8224419647773877,0.8694323835660462,0.9219336842539558,0.824573256763356,0.9795912496204349,0.7076533362071014,0.0,0.8138642812976742
32 image_load_susp_clickonce_unsigned_module_loaded.yml,0.8516978982981468,0.9612915222224945,0.8571723435729948,0.8421195651995134,0.9635193116353744,0.7459221216920167,0.9625875801083912,0.7743656486725815,0.0,0.8188632902036688
33 web_sql_injection_in_access_logs,1.000000026657916,0.9197092465270454,0.8613617782105638,0.8885101021713948,0.8558546257884048,1.0000000948788563,0.909341949467264,0.7990357849174045,0.816673378498028,0.0
34 proc_creation_lnx_mal_shai_hulud_indicator,0.8521826702822919,0.9742942368095546,0.8731187522654897,0.8470472150767471,0.869016851278462,0.7111026568555489,0.9999999875959321,0.0,0.0,0.0
35 zeek_http_executable_download_from_webdav,0.987274357050703,0.9293492180397094,0.8116602764772173,0.8009772330086231,0.8707605166781738,0.9977222000560126,0.9667439154230648,0.0,0.0,0.9037108829397985
36 file_event_win_malware_darkgate_autoit3_save_temp,0.8088614915023886,0.9141765483751365,0.7679565818878588,0.7556845106898626,0.8065943968424909,0.7542108555632853,0.9300220761508259,0.0,0.0,0.0
37 nodejs_rce_exploitation_attempt,0.8248591597740094,0.9199256390257594,0.7683080838635046,0.8931908314388469,0.9482700163130416,0.6533338157559561,0.965440352952931,0.0,0.0,0.8927643668611693
38 proc_creation_win_reg_query_registry,0.8727683485317543,0.9412977413910295,0.7733809365399377,0.8401258599859773,0.8773376165141942,0.9585692221752105,0.9378671830124813,0.7690273064536663,0.8008607462065973,0.0
39 app_python_sql_exceptions,1.0000000126291244,0.9336148338009672,0.7581895069595982,0.8089432919915217,0.8327321304590583,0.9999999101891602,0.8025875995875407,0.0,0.0,0.0
4 posh_ps_modify_group_policy_settings,0.8562737272627511,0.8992327466671833,0.8497715508833299,0.8886248772695364,0.84895053749473,0.8342370823136073,0.965535688181784,0.8227331990366482,0.8429960030435144,0.0
40 file_event_macos_python_path_configuration_files,0.8653371239843952,0.9657771251880203,0.7211570432411407,0.7951473543664791,0.7316145592469667,0.8699514519456004,0.9512723440518734,0.0,0.0,0.0
41 spring_application_exceptions,0.9310307028791048,0.9256887115080881,0.8451827010551569,0.8372857199903561,0.832720374707504,0.8138233179497731,0.9161419092217566,0.6936423327511121,0.0,0.0
42 okta_policy_rule_modified_or_deleted,0.7743806361353103,0.9408074322331607,0.8015785415912917,0.9162185433359384,0.8577693034470941,0.7574693180331994,0.9805604002366831,0.0,0.9385717804598626,0.0
43 cisco_duo_mfa_bypass_via_bypass_code,0.8317030799895173,0.9704541661525581,0.828857168084013,0.8379967509440069,0.9132112831853357,0.7633979322494054,0.8802706783213948,0.807013279224651,0.0,0.8721140345355081
44 file_rename_win_non_dll_to_dll_ext,0.8202096157494769,0.9546019876586233,0.8241467676675553,0.8364759055870357,0.7780977351306766,0.0,0.9866963435367762,0.819117174019348,0.8851031775869219,0.0
45 net_connection_win_silenttrinity_stager_msbuild_activity,0.8948462396025738,0.8618567026401863,0.7588409198527903,0.8148852475672611,0.8119526578527224,0.8784986121185804,0.9801256416151786,0.0,0.0,0.0
46 posh_pm_alternate_powershell_hosts,0.7698407452212267,0.889457510608497,0.7107981342406064,0.7848845958516849,0.9310910124214713,0.7771391427474529,0.9764286698440083,0.0,0.819807101666864,0.8700762832623941
47 proc_access_win_lsass_susp_access_flag,0.901849033485771,0.8674537071968818,0.7670185837598533,0.8235926369417266,0.8779957763379481,0.914786887489971,0.9877352656594705,0.7611719002055658,0.0,0.0
48 velocity_ssti_injection,0.9084012505294394,0.9110300917784039,0.9213884942618091,0.8138407818568765,0.8208533920636937,0.8297310712864343,0.9405602585919794,0.8342002471647431,0.0,0.0
49 zeek_dce_rpc_mitre_bzar_persistence,0.9065987025779998,0.9052635486854705,0.7794252552027805,0.8385962806056089,0.8169057297592767,0.7919441836846277,1.0000001216662306,0.6017967143658058,0.0,0.7363564957170536
5 win_firewall_as_add_rule_wmiprvse,0.9767533750040898,0.9337547782293039,0.7224563517216303,0.8270473078538358,0.8031703437575,1.000000106410913,0.9045241811391923,0.7680591036439337,0.0,0.0
50 net_dns_susp_telegram_api,0.9992598512092128,0.9442473504220951,0.9010921951620807,0.9073389320165848,0.906638859824817,1.0000000671238496,1.000000075732447,0.9300498209802253,0.0,0.0
6 huawei_bgp_auth_failed,0.7905224307589822,0.9270772815398814,0.6755647773350383,0.7659655190674832,0.8881527250212027,0.7504209126918926,0.8971304265215745,0.6005730495122359,0.6717871388674002,0.0
7 rpc_firewall_printing_lateral_movement,0.8366930613864489,0.9000935091901137,0.7587756859359442,0.8029638488663653,0.805592780087999,0.8321766681958973,0.9998032152554546,0.0,0.8270691249074558,0.0
8 registry_set_change_security_zones,0.8739949565748237,0.8638197016671442,0.8184126939070504,0.8605960841014229,0.8321362841290183,0.8801625400905746,0.9394314736099851,0.7619296826965214,0.8124663522980918,0.0
9 app_sqlinjection_errors,0.9401079653500514,0.9095861749388584,0.8152197391469972,0.8305395047436035,0.8541956124309026,0.9566827214261706,0.8838221535421181,0.0,0.0,0.740319289650663
