Grupo,Sim. global (média),Sim. global (mediana),Sim. global (DP),Sim. detection (média),Sim. detection (mediana),Sim. detection (DP)
E2,0.8865405149942756,0.8785645340628312,0.06366973753337951,0.8293732513547724,0.8271521640248951,0.15417907636517306
E3,0.9267513975229079,0.9307113064729408,0.030195262553434205,0.9480613861293677,0.9611105945582449,0.04770688402247508
E4-p1,0.8046184614239138,0.8123230670371766,0.06296906791142641,0.46154895858407324,0.7038293449040575,0.3976018458009971
E4-p2,0.8525459818200666,0.8424191628911282,0.04562740509331987,0.42141801289347447,0.3358935694337001,0.4249204606385262
E4-p3,0.8659960829572743,0.8563530052473906,0.05465556205312425,0.34747187895484716,0.0,0.41283418132082056
