Grupo,logsource.category (%),logsource.product (%),logsource.service (%),tags (Jaccard médio),level (%)
E2,58.333333333333336,70.45454545454545,53.333333333333336,0.3136536796536797,58.0
E3,100.0,100.0,100.0,0.3325555555555556,54.0
E4-p1,5.555555555555555,27.272727272727273,20.0,0.06666666666666667,12.0
E4-p2,19.444444444444443,40.90909090909091,26.666666666666668,0.10800000000000001,28.0
E4-p3,16.666666666666668,25.0,13.333333333333334,0.06233333333333333,16.0
