Grupo,N (válidos),Média,Mediana,DP
E2,49,0.8462992360762983,0.8297310712864343,0.09965874736556823
E3,50,0.9480613861293677,0.9611105945582449,0.04770688402247508
E4-p1,29,0.7957740665242643,0.807013279224651,0.08121891747017043
E4-p2,25,0.8428360257869492,0.8270691249074558,0.07699683471640376
E4-p3,21,0.8273139975115408,0.8188632902036688,0.09386437442576971
