Grupo,N considerado,logsource.category (%),logsource.product (%),logsource.service (%),tags (Jaccard médio),level (%)
E2,49,60.0,72.09302325581395,53.333333333333336,0.320054775156816,59.183673469387756
E3,50,100.0,100.0,100.0,0.3325555555555556,54.0
E4-p1,29,10.526315789473685,50.0,27.272727272727273,0.11494252873563218,20.689655172413794
E4-p2,25,41.1764705882353,81.81818181818181,50.0,0.21600000000000003,56.0
E4-p3,21,50.0,61.111111111111114,22.22222222222222,0.1484126984126984,38.095238095238095
